loan_amnt,dti,emp_length,accepted
5000.0,30.15,5 years,1
8000.0,34.98,5 years,1
24800.0,37.29,1 year,1
30000.0,12.39,2 years,1
18000.0,6.5,4 years,1
30000.0,9.73,6 years,1
25000.0,21.0,5 years,1
10000.0,29.28,5 years,1
24000.0,8.65,8 years,1
2325.0,13.55,10+ years,1
15000.0,30.99,< 1 year,1
4800.0,17.85,8 years,1
8400.0,16.06,6 years,1
27000.0,25.86,10+ years,1
10900.0,36.71,2 years,1
10000.0,26.07,< 1 year,1
16000.0,12.95,10+ years,1
15000.0,13.47,10+ years,1
10000.0,30.63,8 years,1
23000.0,29.5,< 1 year,1
21125.0,1.55,3 years,1
20000.0,17.79,5 years,1
10250.0,29.15,10+ years,1
15450.0,27.43,2 years,1
19200.0,13.49,1 year,1
15200.0,10.83,10+ years,1
28625.0,22.86,,1
8400.0,17.4,3 years,1
13000.0,13.68,9 years,1
26000.0,12.1,10+ years,1
11000.0,15.41,6 years,1
13150.0,16.26,9 years,1
12000.0,17.72,2 years,1
8000.0,17.18,10+ years,1
5000.0,18.93,1 year,1
20000.0,15.35,< 1 year,1
18700.0,9.89,6 years,1
8000.0,22.14,10+ years,1
30000.0,33.15,5 years,1
10000.0,22.62,9 years,1
27000.0,11.28,10+ years,1
18175.0,15.6,,1
1050.0,25.43,9 years,1
12000.0,3.06,1 year,1
18500.0,24.27,6 years,1
7000.0,7.28,10+ years,1
15200.0,19.4,10+ years,1
4500.0,30.36,2 years,1
7200.0,14.57,3 years,1
7200.0,25.43,6 years,1
7375.0,16.08,2 years,1
4000.0,18.99,8 years,1
6000.0,23.06,10+ years,1
6000.0,13.82,10+ years,1
20525.0,23.16,5 years,1
8000.0,32.73,5 years,1
5925.0,17.9,10+ years,1
3600.0,12.55,10+ years,1
20000.0,27.57,< 1 year,1
12000.0,17.31,10+ years,1
12000.0,9.79,10+ years,1
16000.0,25.22,3 years,1
8675.0,26.49,1 year,1
12000.0,18.99,2 years,1
10725.0,32.33,2 years,1
30000.0,22.22,< 1 year,1
5000.0,10.45,10+ years,1
16000.0,31.84,4 years,1
6000.0,27.88,4 years,1
12000.0,13.37,10+ years,1
15000.0,31.23,2 years,1
35000.0,29.19,3 years,1
10825.0,15.9,10+ years,1
3500.0,7.92,5 years,1
5000.0,3.89,5 years,1
5600.0,14.78,3 years,1
25000.0,38.69,10+ years,1
15000.0,0.25,7 years,1
25000.0,23.17,10+ years,1
15000.0,22.51,< 1 year,1
15000.0,6.97,5 years,1
24000.0,19.67,6 years,1
9450.0,36.85,10+ years,1
15000.0,34.23,10+ years,1
10000.0,18.01,10+ years,1
12000.0,9.92,10+ years,1
35000.0,23.34,< 1 year,1
7200.0,37.97,5 years,1
18000.0,29.81,8 years,1
5175.0,21.16,< 1 year,1
15000.0,12.04,10+ years,1
14400.0,18.7,2 years,1
24150.0,22.6,6 years,1
12000.0,10.18,10+ years,1
15000.0,10.79,10+ years,1
15000.0,27.43,7 years,1
28000.0,13.52,10+ years,1
25000.0,7.39,6 years,1
10000.0,9.83,10+ years,1
7350.0,31.17,10+ years,1
14000.0,7.86,< 1 year,1
9000.0,24.83,9 years,1
35000.0,18.93,10+ years,1
17500.0,23.0,6 years,1
15000.0,19.44,6 years,1
10000.0,26.93,7 years,1
18450.0,22.07,8 years,1
12000.0,24.37,< 1 year,1
5000.0,14.3,10+ years,1
28800.0,10.57,,1
32000.0,10.26,2 years,1
13500.0,35.95,5 years,1
12000.0,4.6,1 year,1
10800.0,8.58,3 years,1
6000.0,19.22,10+ years,1
8000.0,24.73,10+ years,1
35000.0,38.07,10+ years,1
15000.0,16.48,10+ years,1
8000.0,28.96,10+ years,1
35000.0,31.82,9 years,1
30000.0,17.12,5 years,1
6000.0,28.49,5 years,1
1000.0,9.84,10+ years,1
28000.0,14.64,6 years,1
22000.0,21.22,< 1 year,1
16800.0,23.85,6 years,1
11475.0,36.98,10+ years,1
15675.0,29.48,2 years,1
18450.0,27.66,< 1 year,1
25200.0,16.31,< 1 year,1
7200.0,28.05,6 years,1
10500.0,21.49,< 1 year,1
35000.0,15.26,5 years,1
15000.0,26.79,6 years,1
32000.0,13.84,10+ years,1
35000.0,11.27,2 years,1
2975.0,6.9,< 1 year,1
6000.0,11.2,6 years,1
16450.0,28.39,10+ years,1
30600.0,39.98,5 years,1
35000.0,18.49,7 years,1
15000.0,21.52,2 years,1
35000.0,18.33,< 1 year,1
18000.0,12.62,9 years,1
20000.0,28.5,10+ years,1
10000.0,12.03,8 years,1
10700.0,28.03,< 1 year,1
28000.0,13.82,2 years,1
35000.0,27.29,3 years,1
10000.0,9.02,10+ years,1
10000.0,15.66,10+ years,1
25000.0,8.85,,1
21000.0,22.95,2 years,1
23825.0,20.54,,1
12000.0,20.16,,1
13650.0,28.04,10+ years,1
2000.0,29.35,< 1 year,1
13300.0,15.8,,1
15000.0,31.44,8 years,1
12000.0,31.43,10+ years,1
11000.0,21.64,1 year,1
21000.0,24.17,10+ years,1
10800.0,13.48,3 years,1
3900.0,20.31,2 years,1
10000.0,8.2,2 years,1
15000.0,21.24,8 years,1
20000.0,34.54,10+ years,1
24000.0,19.13,7 years,1
15000.0,26.04,< 1 year,1
3200.0,24.69,5 years,1
12000.0,21.49,2 years,1
12800.0,9.28,1 year,1
9000.0,19.91,10+ years,1
25600.0,12.39,< 1 year,1
9800.0,4.08,10+ years,1
5600.0,19.95,1 year,1
23700.0,33.64,3 years,1
32750.0,25.43,4 years,1
5000.0,27.07,7 years,1
18000.0,12.2,5 years,1
15000.0,18.95,1 year,1
27000.0,21.4,2 years,1
11500.0,23.4,8 years,1
20250.0,20.56,< 1 year,1
8000.0,11.83,3 years,1
35000.0,16.97,10+ years,1
10125.0,25.43,10+ years,1
5575.0,27.89,1 year,1
4800.0,6.0,< 1 year,1
18000.0,18.4,1 year,1
19575.0,34.95,4 years,1
26000.0,28.14,3 years,1
11525.0,16.68,1 year,1
20000.0,22.85,5 years,1
1200.0,19.41,4 years,1
4175.0,15.19,,1
16000.0,18.95,10+ years,1
2750.0,24.65,10+ years,1
10000.0,19.08,10+ years,1
2400.0,25.92,8 years,1
12000.0,14.76,10+ years,1
4800.0,19.79,3 years,1
20000.0,24.89,< 1 year,1
7200.0,11.55,< 1 year,1
10000.0,18.14,10+ years,1
11000.0,14.45,1 year,1
23250.0,17.28,3 years,1
12000.0,25.68,10+ years,1
5600.0,11.94,2 years,1
7000.0,36.2,1 year,1
12000.0,12.2,8 years,1
20000.0,6.39,10+ years,1
15000.0,16.17,9 years,1
20550.0,29.21,6 years,1
10000.0,25.27,10+ years,1
5000.0,21.62,3 years,1
6400.0,17.29,10+ years,1
35000.0,17.04,10+ years,1
17500.0,18.96,< 1 year,1
13000.0,12.5,5 years,1
19625.0,18.9,5 years,1
12050.0,29.6,10+ years,1
24000.0,16.23,< 1 year,1
19300.0,17.11,,1
21200.0,25.26,7 years,1
13000.0,21.45,7 years,1
25000.0,21.96,7 years,1
19800.0,22.56,7 years,1
22000.0,13.6,10+ years,1
9600.0,31.52,< 1 year,1
12000.0,12.77,5 years,1
14400.0,17.29,10+ years,1
5900.0,11.71,10+ years,1
10925.0,17.44,8 years,1
10000.0,6.58,8 years,1
8400.0,34.4,9 years,1
25000.0,6.92,8 years,1
1400.0,38.71,10+ years,1
6000.0,13.61,10+ years,1
9450.0,36.76,< 1 year,1
3000.0,14.4,10+ years,1
20000.0,16.91,10+ years,1
1000.0,6.1,10+ years,1
10000.0,10.88,10+ years,1
7800.0,26.71,2 years,1
15000.0,27.15,10+ years,1
16000.0,17.19,3 years,1
16000.0,15.24,5 years,1
5600.0,25.24,1 year,1
25600.0,33.27,10+ years,1
21000.0,18.72,2 years,1
24000.0,20.62,1 year,1
13750.0,13.87,10+ years,1
6000.0,7.23,8 years,1
10000.0,9.8,4 years,1
20000.0,9.81,2 years,1
18000.0,17.03,10+ years,1
11825.0,21.4,8 years,1
18225.0,20.91,3 years,1
9275.0,14.34,< 1 year,1
7000.0,1.54,,1
20000.0,28.6,4 years,1
6000.0,39.84,< 1 year,1
12000.0,15.07,1 year,1
19200.0,16.38,10+ years,1
32625.0,16.63,< 1 year,1
28000.0,10.15,8 years,1
35000.0,11.89,10+ years,1
7275.0,23.27,8 years,1
10000.0,8.91,9 years,1
25000.0,11.41,2 years,1
5000.0,4.38,10+ years,1
20000.0,34.56,6 years,1
35000.0,13.68,2 years,1
2500.0,8.56,10+ years,1
5725.0,22.96,,1
12000.0,36.66,10+ years,1
14150.0,9.28,10+ years,1
22500.0,24.22,9 years,1
20000.0,14.34,10+ years,1
10000.0,23.64,1 year,1
5000.0,25.46,10+ years,1
10000.0,17.85,7 years,1
5000.0,39.37,6 years,1
6000.0,16.99,5 years,1
15000.0,28.2,,1
28000.0,28.01,3 years,1
8525.0,30.44,4 years,1
20000.0,31.88,3 years,1
9000.0,12.39,10+ years,1
20000.0,36.12,10+ years,1
12000.0,28.56,4 years,1
4425.0,24.74,10+ years,1
8000.0,19.36,< 1 year,1
16000.0,23.89,2 years,1
26600.0,51.2,9 years,1
9600.0,13.84,4 years,1
10800.0,10.57,3 years,1
5500.0,23.02,9 years,1
7200.0,8.4,4 years,1
21000.0,26.76,3 years,1
22450.0,27.88,8 years,1
3000.0,22.01,2 years,1
17750.0,28.12,5 years,1
14075.0,26.27,,1
11200.0,8.44,,1
11675.0,33.29,10+ years,1
16050.0,28.36,< 1 year,1
6000.0,8.95,8 years,1
7025.0,20.65,10+ years,1
15000.0,5.41,4 years,1
30000.0,23.74,10+ years,1
9200.0,23.16,3 years,1
15000.0,11.29,,1
10000.0,31.89,,1
10000.0,35.56,10+ years,1
15000.0,2.01,10+ years,1
30375.0,19.82,7 years,1
18000.0,10.05,10+ years,1
10000.0,12.32,9 years,1
35000.0,15.66,3 years,1
21000.0,23.94,5 years,1
5000.0,20.36,,1
21000.0,36.24,< 1 year,1
7000.0,18.04,2 years,1
20000.0,26.98,10+ years,1
28000.0,21.82,10+ years,1
3600.0,11.46,10+ years,1
13925.0,21.77,10+ years,1
20000.0,14.71,< 1 year,1
24925.0,25.85,10+ years,1
30225.0,21.56,10+ years,1
9600.0,15.88,10+ years,1
12000.0,14.53,6 years,1
30000.0,28.06,1 year,1
10000.0,23.71,5 years,1
8000.0,8.37,2 years,1
5400.0,28.83,3 years,1
21000.0,20.74,3 years,1
4800.0,6.91,8 years,1
10000.0,28.27,10+ years,1
13700.0,21.13,,1
15000.0,27.75,8 years,1
12000.0,15.85,,1
8500.0,14.61,< 1 year,1
15000.0,10.91,4 years,1
35000.0,15.71,10+ years,1
8000.0,7.48,3 years,1
18000.0,37.49,8 years,1
11425.0,15.8,2 years,1
10000.0,21.04,< 1 year,1
20000.0,2.11,2 years,1
12000.0,25.05,,1
23450.0,30.92,10+ years,1
4500.0,8.35,< 1 year,1
19525.0,20.42,,1
28000.0,17.67,6 years,1
24000.0,11.36,1 year,1
35000.0,18.08,8 years,1
19000.0,31.72,10+ years,1
16800.0,13.8,9 years,1
10000.0,26.19,10+ years,1
12000.0,23.1,8 years,1
28000.0,15.89,10+ years,1
8000.0,8.78,8 years,1
11000.0,16.59,3 years,1
25000.0,15.91,< 1 year,1
8000.0,38.42,4 years,1
8000.0,38.65,5 years,1
11500.0,38.45,3 years,1
18025.0,24.95,< 1 year,1
9400.0,14.77,10+ years,1
9000.0,11.82,10+ years,1
18000.0,38.45,10+ years,1
7700.0,12.02,5 years,1
5000.0,16.47,2 years,1
15000.0,14.97,8 years,1
8000.0,2.55,7 years,1
8000.0,9.23,10+ years,1
10000.0,9.62,1 year,1
10000.0,5.27,10+ years,1
15000.0,32.05,10+ years,1
16000.0,9.96,5 years,1
19200.0,25.47,5 years,1
12000.0,29.8,2 years,1
15000.0,18.44,8 years,1
6000.0,6.55,10+ years,1
20000.0,20.09,10+ years,1
10400.0,11.35,2 years,1
15000.0,6.17,4 years,1
15000.0,10.11,2 years,1
25000.0,22.15,3 years,1
2950.0,20.47,10+ years,1
12500.0,12.9,5 years,1
12000.0,18.95,2 years,1
35000.0,15.49,4 years,1
8800.0,12.43,8 years,1
24000.0,27.15,10+ years,1
15000.0,15.86,10+ years,1
12000.0,7.37,5 years,1
24000.0,12.54,10+ years,1
7000.0,21.67,< 1 year,1
12000.0,5.71,,1
10100.0,9.47,10+ years,1
6500.0,33.99,< 1 year,1
10000.0,19.23,4 years,1
15300.0,27.44,2 years,1
20000.0,24.31,10+ years,1
15000.0,24.1,2 years,1
14225.0,24.24,< 1 year,1
11000.0,18.88,10+ years,1
18000.0,8.48,1 year,1
12000.0,10.36,5 years,1
6775.0,2.49,10+ years,1
33500.0,25.96,5 years,1
12000.0,13.93,< 1 year,1
15000.0,16.92,6 years,1
10000.0,4.69,10+ years,1
28000.0,13.66,10+ years,1
1500.0,24.33,10+ years,1
11825.0,28.87,4 years,1
2000.0,38.33,< 1 year,1
10000.0,38.86,10+ years,1
16700.0,19.66,< 1 year,1
10000.0,13.01,7 years,1
12000.0,18.03,6 years,1
5000.0,22.96,10+ years,1
5000.0,15.5,10+ years,1
12000.0,24.94,10+ years,1
8000.0,13.0,10+ years,1
14400.0,9.17,10+ years,1
10000.0,16.43,< 1 year,1
15000.0,10.32,10+ years,1
20000.0,12.38,10+ years,1
30000.0,25.38,10+ years,1
25000.0,16.79,8 years,1
25000.0,10.19,7 years,1
12000.0,19.0,10+ years,1
12000.0,6.65,9 years,1
15000.0,28.43,10+ years,1
20000.0,21.62,2 years,1
8400.0,10.88,10+ years,1
6000.0,18.15,1 year,1
20000.0,1.14,6 years,1
8000.0,19.7,3 years,1
19675.0,17.77,3 years,1
15200.0,16.07,5 years,1
22000.0,17.59,< 1 year,1
12000.0,33.48,5 years,1
12000.0,28.18,10+ years,1
15600.0,18.76,< 1 year,1
10000.0,21.31,3 years,1
15000.0,18.48,10+ years,1
21675.0,23.23,10+ years,1
10000.0,9.33,2 years,1
24000.0,16.97,3 years,1
13600.0,11.44,6 years,1
2400.0,7.46,< 1 year,1
15000.0,4.32,10+ years,1
3425.0,21.57,,1
5000.0,12.24,5 years,1
3500.0,6.0,< 1 year,1
15000.0,31.76,1 year,1
15000.0,17.28,,1
18000.0,19.46,2 years,1
12875.0,19.66,2 years,1
22000.0,6.82,10+ years,1
16000.0,35.3,4 years,1
24000.0,23.81,10+ years,1
5500.0,16.32,< 1 year,1
20000.0,13.01,3 years,1
5000.0,8.62,2 years,1
24000.0,4.37,2 years,1
32000.0,6.36,10+ years,1
12000.0,4.82,10+ years,1
3400.0,15.09,10+ years,1
20000.0,11.28,7 years,1
12000.0,24.57,10+ years,1
16500.0,15.54,< 1 year,1
14000.0,31.13,4 years,1
22000.0,12.08,7 years,1
13800.0,19.49,10+ years,1
6000.0,10.59,7 years,1
12500.0,13.71,10+ years,1
15000.0,2.08,10+ years,1
12000.0,18.09,1 year,1
8000.0,7.39,10+ years,1
9425.0,27.52,2 years,1
20000.0,20.54,10+ years,1
24000.0,5.14,4 years,1
23050.0,33.78,3 years,1
15000.0,14.56,5 years,1
9000.0,26.0,5 years,1
15000.0,30.98,,1
10000.0,36.21,8 years,1
7200.0,18.5,< 1 year,1
7200.0,17.08,4 years,1
8000.0,15.19,8 years,1
21000.0,19.89,10+ years,1
6000.0,24.34,10+ years,1
20000.0,12.87,10+ years,1
24000.0,27.06,10+ years,1
18675.0,26.74,7 years,1
24000.0,23.43,10+ years,1
2500.0,26.55,2 years,1
15000.0,13.76,2 years,1
24000.0,7.87,10+ years,1
16800.0,10.58,4 years,1
16225.0,17.94,3 years,1
31200.0,8.34,4 years,1
10000.0,11.08,10+ years,1
24000.0,27.58,10+ years,1
35000.0,31.65,10+ years,1
35000.0,21.79,< 1 year,1
16400.0,11.84,10+ years,1
20000.0,30.27,10+ years,1
30000.0,18.91,2 years,1
24000.0,18.4,4 years,1
6000.0,4.38,2 years,1
15600.0,19.33,10+ years,1
4000.0,4.79,9 years,1
8000.0,20.18,< 1 year,1
24000.0,18.6,1 year,1
22025.0,18.56,< 1 year,1
10000.0,22.17,10+ years,1
14000.0,20.73,2 years,1
17500.0,23.9,,1
6500.0,3.97,10+ years,1
5000.0,24.26,2 years,1
10000.0,27.65,8 years,1
9000.0,17.72,10+ years,1
5500.0,17.11,9 years,1
9000.0,23.11,< 1 year,1
3500.0,14.57,7 years,1
12000.0,13.58,< 1 year,1
25000.0,17.91,2 years,1
35000.0,24.98,10+ years,1
6275.0,2.78,< 1 year,1
28000.0,2.49,7 years,1
20000.0,20.78,8 years,1
5000.0,23.01,8 years,1
8325.0,27.69,6 years,1
17000.0,30.46,4 years,1
16000.0,15.3,8 years,1
8950.0,8.06,10+ years,1
11200.0,18.94,4 years,1
14400.0,7.59,5 years,1
10000.0,27.44,10+ years,1
8800.0,15.92,3 years,1
20000.0,13.2,10+ years,1
12975.0,27.8,2 years,1
10800.0,7.89,2 years,1
10000.0,33.39,7 years,1
30000.0,17.27,< 1 year,1
4500.0,27.45,3 years,1
6475.0,12.26,10+ years,1
9475.0,19.49,5 years,1
6000.0,10.28,6 years,1
8000.0,27.94,10+ years,1
28000.0,18.63,10+ years,1
6525.0,27.02,,1
6000.0,16.74,6 years,1
12000.0,21.78,8 years,1
4000.0,14.01,10+ years,1
28000.0,32.71,10+ years,1
20000.0,33.48,2 years,1
4000.0,6.45,10+ years,1
28000.0,36.36,5 years,1
8000.0,24.5,,1
16000.0,26.76,10+ years,1
20000.0,17.08,10+ years,1
30400.0,13.27,10+ years,1
15000.0,22.14,2 years,1
12000.0,7.4,5 years,1
15000.0,11.11,8 years,1
30000.0,22.57,< 1 year,1
21000.0,13.72,10+ years,1
16000.0,27.15,10+ years,1
24000.0,23.91,4 years,1
12000.0,14.58,< 1 year,1
6475.0,32.12,10+ years,1
20000.0,9.6,3 years,1
14400.0,17.03,10+ years,1
15000.0,15.22,1 year,1
24500.0,7.98,4 years,1
8000.0,13.15,2 years,1
1675.0,7.63,2 years,1
11675.0,18.1,4 years,1
8000.0,12.56,6 years,1
18000.0,14.24,10+ years,1
15000.0,6.64,10+ years,1
12000.0,21.06,10+ years,1
15000.0,13.61,10+ years,1
12000.0,15.52,< 1 year,1
20000.0,27.9,2 years,1
1500.0,22.51,< 1 year,1
12000.0,11.76,1 year,1
12000.0,16.0,10+ years,1
11000.0,30.67,2 years,1
22925.0,24.62,6 years,1
18000.0,19.56,10+ years,1
24000.0,14.77,< 1 year,1
20000.0,27.78,10+ years,1
16800.0,28.61,1 year,1
35000.0,23.98,< 1 year,1
16200.0,25.5,10+ years,1
3600.0,18.41,10+ years,1
12000.0,30.34,,1
5000.0,18.12,10+ years,1
13000.0,21.02,1 year,1
5000.0,11.5,10+ years,1
10550.0,25.75,6 years,1
5000.0,15.39,5 years,1
4000.0,17.01,10+ years,1
35000.0,4.29,4 years,1
5600.0,7.99,8 years,1
9600.0,11.61,10+ years,1
5000.0,31.1,7 years,1
30000.0,28.82,4 years,1
7675.0,10.12,2 years,1
26025.0,11.8,10+ years,1
5000.0,12.25,,1
20000.0,20.16,10+ years,1
5000.0,29.91,1 year,1
26000.0,29.88,10+ years,1
30000.0,26.66,,1
10000.0,17.31,8 years,1
7850.0,28.96,< 1 year,1
35000.0,5.99,3 years,1
30000.0,16.97,4 years,1
11900.0,34.7,,1
15375.0,8.21,10+ years,1
9400.0,11.11,7 years,1
24000.0,19.83,10+ years,1
21000.0,24.44,1 year,1
8950.0,1.27,6 years,1
12000.0,7.7,8 years,1
10850.0,13.42,2 years,1
10850.0,16.77,10+ years,1
14000.0,29.2,10+ years,1
10000.0,18.23,< 1 year,1
22000.0,29.12,10+ years,1
10000.0,27.92,2 years,1
12450.0,21.72,6 years,1
2525.0,37.91,< 1 year,1
25000.0,25.97,8 years,1
28000.0,29.45,3 years,1
24000.0,8.29,6 years,1
35000.0,24.62,10+ years,1
20000.0,28.97,10+ years,1
6000.0,29.96,< 1 year,1
18475.0,18.21,3 years,1
24000.0,20.57,1 year,1
15000.0,11.03,9 years,1
2850.0,6.16,4 years,1
15000.0,23.61,3 years,1
10000.0,22.9,6 years,1
20000.0,21.03,10+ years,1
12500.0,23.33,< 1 year,1
15000.0,22.01,2 years,1
18000.0,20.48,5 years,1
7000.0,25.7,6 years,1
6000.0,31.42,7 years,1
20000.0,19.67,5 years,1
6000.0,9.01,10+ years,1
1500.0,0.96,10+ years,1
7525.0,33.91,10+ years,1
25000.0,16.84,4 years,1
13550.0,17.1,10+ years,1
6000.0,20.9,< 1 year,1
18000.0,16.44,4 years,1
3975.0,9.91,2 years,1
20000.0,30.5,4 years,1
11800.0,21.86,10+ years,1
24000.0,25.55,2 years,1
24000.0,17.0,7 years,1
14000.0,21.38,10+ years,1
18000.0,30.92,10+ years,1
25000.0,11.73,2 years,1
27500.0,22.58,10+ years,1
15000.0,21.42,< 1 year,1
26575.0,19.88,10+ years,1
17600.0,26.35,3 years,1
5000.0,21.67,3 years,1
28000.0,16.95,8 years,1
25000.0,19.4,1 year,1
9000.0,8.67,< 1 year,1
19200.0,21.59,10+ years,1
21000.0,32.88,10+ years,1
8000.0,22.08,< 1 year,1
14400.0,25.32,2 years,1
10000.0,3.65,7 years,1
13000.0,8.2,5 years,1
28000.0,22.83,5 years,1
9000.0,6.91,10+ years,1
15000.0,17.7,9 years,1
32000.0,14.07,9 years,1
6025.0,27.99,,1
10400.0,8.7,5 years,1
2700.0,2.48,,1
4000.0,12.93,10+ years,1
6375.0,8.24,3 years,1
21300.0,8.08,8 years,1
2000.0,34.02,10+ years,1
20000.0,8.41,10+ years,1
35000.0,16.51,,1
12000.0,15.01,< 1 year,1
8000.0,39.09,3 years,1
6600.0,10.6,10+ years,1
19300.0,23.2,10+ years,1
35000.0,25.67,< 1 year,1
35000.0,14.56,8 years,1
13000.0,18.53,4 years,1
16000.0,22.61,1 year,1
24000.0,37.63,,1
15000.0,8.66,< 1 year,1
20000.0,11.4,10+ years,1
22725.0,8.59,5 years,1
16000.0,38.48,10+ years,1
15000.0,35.43,2 years,1
20000.0,27.14,3 years,1
18000.0,20.13,8 years,1
12000.0,7.39,10+ years,1
4800.0,19.31,10+ years,1
8800.0,12.87,10+ years,1
1000.0,26.82,2 years,1
27975.0,1.75,< 1 year,1
18700.0,31.94,10+ years,1
30000.0,20.18,10+ years,1
6400.0,27.39,< 1 year,1
30950.0,25.83,5 years,1
3000.0,21.23,,1
18000.0,14.28,10+ years,1
35000.0,16.12,3 years,1
4800.0,25.36,5 years,1
16000.0,29.24,4 years,1
16000.0,13.23,10+ years,1
21000.0,20.24,4 years,1
9000.0,15.6,,1
14600.0,19.63,4 years,1
18000.0,28.4,3 years,1
15000.0,38.25,< 1 year,1
16650.0,21.4,10+ years,1
20000.0,15.9,10+ years,1
16100.0,21.94,9 years,1
6500.0,24.35,,1
8000.0,6.88,,1
7000.0,20.07,< 1 year,1
5000.0,8.5,< 1 year,1
30000.0,23.25,2 years,1
25000.0,38.37,4 years,1
9200.0,5.63,3 years,1
20400.0,23.76,< 1 year,1
5000.0,17.15,1 year,1
24000.0,17.27,< 1 year,1
9600.0,13.52,< 1 year,1
34550.0,15.61,1 year,1
7500.0,26.26,3 years,1
6000.0,2.83,< 1 year,1
16000.0,23.64,6 years,1
6000.0,4.19,2 years,1
6000.0,32.66,,1
35000.0,19.39,10+ years,1
1000.0,24.83,< 1 year,1
16000.0,31.42,10+ years,1
35000.0,35.9,6 years,1
23650.0,15.68,10+ years,1
21000.0,10.97,< 1 year,1
4000.0,31.02,3 years,1
4800.0,9.1,< 1 year,1
7200.0,10.84,2 years,1
16000.0,27.23,2 years,1
21600.0,10.05,,1
10000.0,23.56,10+ years,1
5900.0,16.99,10+ years,1
18500.0,17.23,10+ years,1
6000.0,8.13,10+ years,1
15000.0,13.6,,1
16000.0,32.18,1 year,1
10000.0,35.01,10+ years,1
10000.0,18.37,,1
15000.0,26.22,1 year,1
16000.0,24.9,4 years,1
16000.0,10.87,10+ years,1
8000.0,12.54,9 years,1
15000.0,22.69,10+ years,1
10000.0,10.95,2 years,1
8500.0,9.18,8 years,1
10000.0,3.4,1 year,1
24150.0,22.7,2 years,1
35000.0,15.72,1 year,1
8000.0,19.16,10+ years,1
5000.0,18.65,1 year,1
12000.0,28.13,1 year,1
10000.0,27.24,10+ years,1
16000.0,26.11,3 years,1
20000.0,18.72,3 years,1
11000.0,22.37,10+ years,1
13600.0,30.64,9 years,1
26475.0,20.14,,1
5000.0,17.29,3 years,1
17475.0,23.9,10+ years,1
2500.0,15.08,2 years,1
8000.0,16.16,10+ years,1
12675.0,26.7,< 1 year,1
1000.0,37.44,6 years,1
5000.0,5.24,,1
20000.0,11.73,3 years,1
30000.0,34.7,9 years,1
7850.0,26.98,7 years,1
10325.0,31.85,10+ years,1
18500.0,25.33,3 years,1
20000.0,18.41,< 1 year,1
8375.0,25.5,10+ years,1
10000.0,17.05,4 years,1
9000.0,15.36,1 year,1
10000.0,26.48,10+ years,1
10500.0,9.24,< 1 year,1
28000.0,26.35,10+ years,1
7000.0,13.28,6 years,1
5000.0,19.76,10+ years,1
7200.0,24.15,10+ years,1
2500.0,17.13,2 years,1
7000.0,24.05,6 years,1
15000.0,31.55,7 years,1
16000.0,17.17,10+ years,1
6000.0,8.16,5 years,1
17500.0,16.55,10+ years,1
2000.0,25.18,< 1 year,1
23000.0,12.35,3 years,1
26000.0,23.19,8 years,1
10000.0,38.3,10+ years,1
13725.0,6.05,3 years,1
9675.0,30.71,10+ years,1
35000.0,20.02,10+ years,1
12000.0,21.76,10+ years,1
16000.0,7.26,4 years,1
20000.0,30.1,3 years,1
10000.0,20.37,8 years,1
4200.0,13.2,10+ years,1
20000.0,36.23,10+ years,1
10000.0,21.84,10+ years,1
12000.0,21.86,7 years,1
12000.0,11.79,4 years,1
10000.0,39.7,5 years,1
8000.0,15.01,10+ years,1
7500.0,36.23,10+ years,1
35000.0,18.15,2 years,1
20000.0,21.86,9 years,1
15000.0,12.17,4 years,1
19750.0,20.65,,1
20000.0,28.25,4 years,1
25000.0,37.0,2 years,1
10000.0,21.59,5 years,1
15000.0,22.06,8 years,1
4125.0,15.13,6 years,1
23000.0,19.65,3 years,1
21000.0,12.04,10+ years,1
20000.0,26.81,,1
26000.0,24.88,10+ years,1
6000.0,25.94,8 years,1
5600.0,15.1,7 years,1
20000.0,17.49,5 years,1
6000.0,22.62,10+ years,1
7200.0,7.44,2 years,1
24000.0,24.3,< 1 year,1
17000.0,11.05,3 years,1
16800.0,16.34,4 years,1
28000.0,14.26,8 years,1
30000.0,14.71,3 years,1
20000.0,10.23,10+ years,1
20000.0,22.71,2 years,1
9100.0,15.51,10+ years,1
20800.0,18.72,8 years,1
28000.0,20.29,10+ years,1
8000.0,37.44,,1
7000.0,14.49,10+ years,1
6000.0,11.14,7 years,1
9000.0,18.5,2 years,1
10800.0,29.86,< 1 year,1
35000.0,10.77,10+ years,1
5000.0,29.85,2 years,1
18000.0,29.35,8 years,1
35000.0,10.9,10+ years,1
10000.0,20.33,10+ years,1
11000.0,27.47,1 year,1
20800.0,23.13,1 year,1
15000.0,21.68,4 years,1
26875.0,19.1,6 years,1
4000.0,30.39,6 years,1
15000.0,13.22,< 1 year,1
5000.0,22.78,10+ years,1
8500.0,15.76,10+ years,1
20000.0,2.64,1 year,1
12000.0,13.35,< 1 year,1
9800.0,17.29,< 1 year,1
5000.0,24.15,1 year,1
27025.0,13.44,10+ years,1
12000.0,13.39,5 years,1
20000.0,12.84,< 1 year,1
24000.0,11.38,< 1 year,1
7050.0,20.55,8 years,1
9000.0,20.22,8 years,1
6000.0,7.11,4 years,1
12600.0,29.48,2 years,1
7000.0,28.59,10+ years,1
15000.0,38.21,7 years,1
12000.0,8.3,2 years,1
35000.0,21.26,9 years,1
